Blues	0.0,111.959,-9.6465,281.286075,0.0
Country	0.0,137.817,-11.603,167.31905799999998,0.0
Electronic	0.0,63.017,-12.951,426.89261,0.0
Jazz	0.0,122.54399999999998,-12.956999999999999,364.8256666666666,0.0
Latin	0.0,100.07,-9.689,177.47546,0.0
Metal	0.0,168.8315,-5.172000000000001,311.20934,0.0
New Age	0.0,95.981,-14.544,316.49914,0.0
Pop	0.0,118.8066,-8.003,169.293912,0.0
Punk	0.0,117.5065,-16.0415,178.63790999999998,0.0
Rap	0.0,113.72383333333333,-7.786166666666666,196.758185,0.0
Reggae	0.0,165.281,-8.810333333333332,211.66975000000002,0.0
RnB	0.0,116.473,-7.103,329.27302,0.0
Rock	0.0,122.87271428571425,-8.248952380952383,239.26252095238098,0.0
